Субъект РФ,"Зарегистрированно преступлений на 10000 чел., за 2022 год",Процент населения в возрасте старше трудоспособного,Уровень безработицы,"Оценка туристического потока, по числу поездок","Процент расходов на алкогольную продукцию, табачные изделия и наркотики",Количество спортивных сооружений на 1000 человек,Количество собственных легковых автомобилей на 1000 человек населения по субъектам Российской Федерации,Прожиточный минимум
Республика Татарстан ,134.286401665297,23.6,2.3,3908170,2.2649362827097,1.50389844062375,282.314309811639,10756
Республика Тыва ,199.002432285356,10.2,9.5,76513,2.46644846229657,2.0367625259413,167.352069997124,12781
Республика Хакасия ,179.676646389243,22.3,3.3,363096,4.60874587138812,1.72764994341758,442.017000073553,12907
Ростовская область,137.817203340682,25.2,3.5,1991662,2.15325714518307,2.02065073838396,334.69330517821,11895
Рязанская область,84.356845861225,28.4,2.9,770107,3.33221147207207,1.84865460556525,399.645336012445,11262
Самарская область,150.2688618395,25.7,2.7,1599350,3.90234288219869,1.38829668756165,319.431517591816,11895
Санкт Петербург,117.100817981877,25,2,9772334,3.10395543490907,0.961607142857143,290.204326966002,13160.2
Саратовская область,123.678556044387,26.3,3.4,1007852,2.13348258439458,1.39922657906774,331.387757885423,10629
Сахалинская область,175.782823223738,23,4.2,421225,1.69887701225649,1.86712983065567,355.427926216248,17209
Свердловская область,121.524081100475,24,3.5,3100631,3.76063228435193,1.70177632044538,441.976844002858,12274
Севастополь,120.08267296483,22.8,4,419986,3.69834423645501,0.639441160666309,261.88441855508,12654
Смоленская область,160.585850947842,27.5,3.4,645249,1.76690581752358,2.6758304696449,263.899404495322,12148
Ставропольский край ,120.742938287982,22.7,4.3,2398071,2.81791697735097,1.48761759822911,259.566602702542,11389
Тамбовская область,140.664883423175,29.4,3.3,365685,2.00529598735783,3.72141156990583,387.251746442432,11100
Тверская область,173.566684821044,27.9,3.7,1074194,4.66392309657979,2.92519815059445,407.633693669743,12148
Томская область,173.901810720544,22.5,5.4,491088,3.11868416072948,1.44663054842696,316.999427814308,12731
Тульская область,110.47278667011,29,3.6,1088500,3.16824313628256,1.3830577117786,372.3711095256,12401
Тюменская область,151.989372147501,22.1,4,1370254,3.04003252262115,1.69864721003298,345.159509454185,12654
Удмуртская Республика ,165.602306562656,23.9,2.9,752657,3.71155023056371,1.71404798224934,306.7565909124,11262
Ульяновская область,100.990972358923,27.6,4.2,528492,2.0507054546394,1.49534292972058,323.978032287728,11262
Хабаровский край ,164.067443790426,22,2.6,827892,1.98652504418809,1.75142122887626,308.215935020131,16871
"Ханты-Мансийский автономный
округ",119.701099727418,15.8,2,901296,2.91143552753355,1.40256,378.722145134548,16932
Челябинская область,183.829315223808,24.2,3.1,1763973,4.30943951565068,1.59461125297174,373.523874094,11887
Чеченская Республика ,15.932608232595,9.8,11,305843,0.0893874723457507,1.21380120010436,200.363420773032,12148
Чувашская Республика,106.222396153631,24.4,3.2,725978,2.55848861201885,2.8290146607569,246.588536938586,10756
Чукотский автономный округ,170.463629096723,12.9,1.9,37303,5.69174151220942,1.56903765690377,117.265886287625,28851
"Ямало-Ненецкий автономный
округ",120.572270007987,12.3,1.6,363807,3.3401792736979,1.71935,352.403554344665,18029
Ярославская область,149.65173869933,26.7,5,1536624,2.16957718420179,1.60137284446677,308.042407322923,11895
